frame_idx,frame_time,steering_angle,steering_angle_prev_100ms,steering_angle_prev_200ms,speed,yaw_rate,velocity_x,velocity_y,velocity_z,time_diff_steering,time_diff_speed,time_diff_gyro
0,9314.094931,-3.1,0.0,0.0,[19.15625],0.0037384033203125,-5.815603702593231,-9.751582337931186,-15.686131121627893,0.06533690400101477,0.06244465400050103,0.06636041999990994
1,9314.144943,-3.1,0.0,0.0,[19.15625],0.0037384033203125,-5.804449257539344,-9.77062526320793,-15.66464865162163,0.015324904001317918,0.012432654000804177,0.016348420000213082
2,9314.194964,-3.5,0.0,0.0,[19.16805556],0.0037384033203125,-5.7947442421294735,-9.790018173232417,-15.636770981519927,0.006705658668579417,0.0013001793340663426,0.033672580000711605
3,9314.244929,-4.0,0.0,0.0,[19.18541667],0.01226806640625,-5.80290789564892,-9.796747239326118,-15.603842699209133,0.006715835999784758,0.0014046690012037288,0.016154900999026722
4,9314.294969,-4.1,-3.5,0.0,[19.22708333],0.01226806640625,-5.8494554144460915,-9.789634691322611,-15.566440331758065,0.003287268333224347,0.0022795856657467084,0.033885099001054186
5,9314.344942,-4.1,-4.0,0.0,[19.14513889],0.0163116455078125,-5.863689841555323,-9.815830881944773,-15.563429698906372,0.008474685000692261,0.0077948260004632175,0.01593438100098865
6,9314.394943,-4.1,-4.2,-3.5,[19.15347222],0.0163116455078125,-5.86316949208714,-9.857645890680779,-15.572960757205314,0.002734835999945062,0.00520641400180466,0.03406661899862229
7,9314.444926,-4.2,-4.1,-4.0,[19.09375],0.0115509033203125,-5.931644591227405,-9.847523164172353,-15.584889324966086,0.003158450332193752,0.00863047200073197,0.015742862000479363
8,9314.494985,-3.9,-4.1,-4.2,[19.10625],0.0115509033203125,-5.9605554965380385,-9.80746987171239,-15.601413259315928,0.00578855466665118,0.00036058566729479935,0.03431613799875777
9,9314.545013,-3.9,-4.2,-4.1,[19.09027778],0.0182952880859375,-5.875297561161887,-9.817596245704864,-15.62212203576212,0.006108430001404486,0.000733003002096666,0.015448341999217519
10,9314.594927,-4.1,-3.9,-4.1,[19.10625],0.0182952880859375,-5.831954102175771,-9.795180181595434,-15.641382085740114,0.003136903333142982,0.0022992633348621894,0.03446565800004464
11,9314.644952,-3.7,-3.9,-4.2,[19.18611111],0.019256591796875,-5.832262617491005,-9.743616091386855,-15.63905244953002,0.004853799666307168,0.005542263666939107,0.015301821998946252
12,9314.694956,-3.2,-4.1,-3.9,[19.17847222],0.019256591796875,-5.821845054436898,-9.709810056856368,-15.622007237208008,0.0042527053356025135,0.004360497001471231,0.034702177999861306
13,9314.744920000001,-3.2,-3.9,-3.9,[19.08055556],0.019561767578125,-5.830928755482517,-9.692959400421973,-15.582955442201786,0.000849211668537464,0.006170236998514156,0.015126302998396568
14,9314.794926,-3.1,-3.3,-4.1,[19.10486111],0.019561767578125,-5.898734041257391,-9.657454077284898,-15.615813413994506,0.0022749716681573773,0.0032296216650138376,0.03487969700108806
15,9314.84492,-3.4,-3.2,-3.9,[18.96527778],-0.0025787353515625,-5.903495828057288,-9.630084654813928,-15.705660527417017,0.00230141999963962,0.009539163334920886,0.014918783001121483
16,9314.894925,-4.1,-3.1,-3.3,[19.08402778],-0.0025787353515625,-5.890397272911347,-9.633851837391095,-15.812984739526032,0.006982013666856801,0.0015856276677368442,0.0350862169998436
17,9314.944961000001,-5.0,-3.4,-3.2,[19.21180556],0.0032501220703125,-5.847474915127988,-9.59269794288694,-15.872548772884981,0.00799579866725253,0.007059659001242835,0.01467026399950555
18,9314.994922,-5.4,-4.1,-3.1,[18.98472222],0.0032501220703125,-5.767384006656251,-9.507429523159507,-15.894686782714514,0.0022995590006757993,0.004952580333338119,0.035290735999296885
19,9315.044917000001,-5.5,-4.8,-3.4,[19.16319444],0.0257720947265625,-5.720390378161601,-9.43382860304996,-15.898328893299121,0.005669820331604569,0.0034996180002053734,0.014506743998936145
20,9315.09492,-5.2,-5.3,-4.1,[19.08194444],0.0257720947265625,-5.703336510082127,-9.391198810416531,-15.885570375090296,0.0049719409998942865,0.005743528332459391,0.03549625599953288
21,9315.144917,-4.9,-5.5,-4.8,[19.18611111],0.02752685546875,-5.7183292827872245,-9.371341044974981,-15.874463468491104,0.008093799333437346,0.00821021599949745,0.014299225000286242
22,9315.194982,-4.7,-5.2,-5.3,[19.10763889],0.02752685546875,-5.766570411291811,-9.371609845192111,-15.876736751624664,0.002798242667267914,0.002541975665735663,0.0357657750009821
23,9315.244916,-4.7,-5.0,-5.5,[19.21041667],0.0131072998046875,-5.837780052479324,-9.393097436458739,-15.887502754986832,0.0030280659993877634,0.008062767667070148,0.014092704999711714
24,9315.294921,-5.2,-4.7,-5.2,[19.21875],0.0131072998046875,-5.8867077727089745,-9.423416345120156,-15.893088682914827,0.002469454999300069,0.005721961000745068,0.03591229500125337
25,9315.344912,-5.8,-4.7,-5.0,[19.19027778],0.007781982421875,-5.926534805570028,-9.441503247029505,-15.896656856854612,0.002076111333735753,0.003297930668850313,0.013889185998777975
26,9315.394951,-6.2,-5.1,-4.7,[19.24722222],0.007781982421875,-5.950303603354998,-9.440918062548482,-15.896164610746691,0.0022659090009256033,0.007644086999789579,0.0361498140009644
27,9315.444917,-6.2,-5.7,-4.7,[19.20486111],0.0219268798828125,-5.980812183759426,-9.418554013787753,-15.89529395723494,0.002402388334303396,0.00788012799966964,0.013676665999810211
28,9315.494997,-6.2,-6.2,-5.1,[19.2375],0.0219268798828125,-5.988486895703528,-9.40483523441429,-15.88768693849848,0.0027248156657151412,0.0026473716661712388,0.03640333399926021
